"Organization Name","Date(s) of Breach  (if known)","Reported Date"
"Santa Rosa Junior College Foundation","02/03/2020","08/19/2020"
"Patriot Growth Insurance Services, LLC","03/10/2020, 03/11/2020","08/19/2020"
"Stockpile, Inc.","04/17/2020","08/19/2020"
"Dynasplint Systems, Inc.","04/29/2020, 05/12/2020","08/17/2020"
"University of Detroit Mercy","02/07/2020, 05/20/2020","08/17/2020"
"Institute for Integrative Nutrition","03/03/2020, 03/04/2020","08/16/2020"
"Construction Bidboard, Inc.","","08/14/2020"
"Metropolitan Community College of Kansas City ","03/10/2020","08/14/2020"
"Filters Fast LLC","07/19/2019, 07/10/2020","08/14/2020"
"NRI USA, LLC","09/03/2019, 10/23/2019","08/14/2020"
"Prostate Cancer Foundation","02/07/2020","08/13/2020"
"Dyson, Inc","07/31/2020","08/13/2020"
"Patriot Growth Insurance Services, LLC","12/23/2019, 01/07/2020","08/12/2020"
"Dent Wizard International","01/22/2020, 02/04/2020","08/10/2020"
"Metropolitan Life Insurance Company","07/24/2020","08/10/2020"
"Northwest Foundation, Inc.","","08/07/2020"
"Bregante + Company, LLC","05/04/2020","08/04/2020"
"Museum of Contemporary Art Santa Barbara","05/31/2020","08/04/2020"
"Romanazzi & Associates","04/16/2020","08/04/2020"
"Wurkforce, Inc.","11/22/2019","08/03/2020"
"Hoag Clinic","06/05/2020","08/03/2020"
"Steel Partners Holdings L.P.","04/18/2020, 04/29/2020","08/02/2020"
"California Western School of Law","","07/31/2020"
"The Credit Pros international","07/09/2016, 12/15/2019","07/30/2020"
"Salinas Valley Memorial Healthcare System","04/24/2020, 04/29/2020, 04/30/2020, 05/04/2020, 05/05/2020, 05/07/2020","07/29/2020"
"Good Samaritan Hospital, Inc.","10/22/2019","07/29/2020"
"Emanate Health","02/19/2020","07/29/2020"
"Front Rush, LLC","01/18/2016, 01/08/2020","07/28/2020"
"OTR Leasing, LLC","01/14/2020, 01/20/2020","07/28/2020"
"Windes, Inc.","03/16/2020","07/28/2020"
"Ventura College Foundation","02/07/2020, 05/20/2020","07/28/2020"
"CK-12 Foundation","02/26/2020","07/27/2020"
"Walgreen Co.","05/26/2020, 05/27/2020, 05/28/2020, 05/29/2020, 05/30/2020, 05/31/2020, 06/01/2020, 06/02/2020, 06/03/2020, 06/04/2020, 06/05/2020","07/24/2020"
"Ply Gem Residential Solutions","07/26/2019, 11/18/2019","07/24/2020"
"Dynavax Technologies Corporation","02/28/2020","07/24/2020"
"Frederick W. Howarth III d/b/a TBG West Insurance Services (“TBG West”)","03/27/2020","07/23/2020"
"Pivot Technology Solutions, Inc.","06/09/2020","07/22/2020"
"Corning Union Elementary School District","11/04/2019","07/21/2020"
"Collabera, Inc.","05/24/2020","07/21/2020"
"Senior Resource Group LLC","12/17/2019","07/20/2020"
"Coalinga Valley Health Clinics, Inc. ","04/17/2020","07/19/2020"
"Verigent, LLC","10/21/2019","07/17/2020"
"Next Glass, Inc.","","07/17/2020"
"NCP Healthcare Management Company","04/27/2020","07/17/2020"
"Northgate Gonzalez, LLC","01/07/2019, 01/07/2020","07/17/2020"
"STRATA Trust Company","02/10/2020, 02/11/2020","07/17/2020"
"Genworth","04/01/2020","07/17/2020"
"Evergreen Union School District","11/15/2019","07/17/2020"
"Steel Partners Holdings L.P.","04/18/2020, 04/29/2020","07/16/2020"
"US HealthCenter, Inc.","04/13/2020","07/16/2020"
"FormFactor, Inc.","06/21/2020","07/16/2020"
"Merani Hospitality, Inc. ","02/16/2017","07/15/2020"
"California Department of Corrections and Rehabilitation ","05/06/2020","07/14/2020"
"City Dental","06/01/2020","07/12/2020"
"The Chronicle of Higher Education, Inc.","06/15/2020","07/10/2020"
"Morgan Stanley","","07/10/2020"
"Thomas Cuisine","01/24/2020, 02/18/2020","07/10/2020"
"Los Angeles County Bar Association","05/10/2020, 06/11/2020","07/10/2020"
"Claire's Stores, Inc.","04/07/2020, 06/12/2020","07/08/2020"
"Eshel, Aminov & Partners LLP","03/10/2019, 05/20/2019","07/08/2020"
"Audio Visual Services Group, LLC d/b/a PSAV","10/22/2019, 02/05/2020","07/08/2020"
"Dr. Ann Hale, D.D.S. / also known as Hutton & Hale, D.D.S.","05/24/2020","07/07/2020"
"Federal Home Loan Mortgage Corporation","","07/07/2020"
"Douglas M. Smith & Co. CPA","03/25/2020","07/07/2020"
"Beverly Hills Unified School District","11/04/2019","07/02/2020"
"Central California Alliance for Health","05/07/2020","07/02/2020"
"Urban Compass, Inc.","05/24/2019, 11/06/2019, 11/11/2019, 01/08/2020","07/01/2020"
"Andrew Lundholm CPA","11/24/2019, 04/29/2020","07/01/2020"
"WESTECH International Inc.","05/10/2020","06/30/2020"
"Young, Molohan, Cohen & Durrett, LLP","05/26/2020","06/29/2020"
"Salinas Valley Memorial Healthcare System","04/29/2020","06/29/2020"
"Red Bluff Joint Union High School District","11/04/2019","06/29/2020"
"Electrical Training Institute","12/23/2019, 12/26/2019","06/29/2020"
"Adelanto Elementary School District","11/04/2019","06/26/2020"
"Saddleback Valley Unified School District","11/04/2019","06/24/2020"
"Kroto Inc. d/b/a iCanvas","05/10/2020, 05/28/2020","06/24/2020"
"Eagle Community Credit Union","02/24/2020","06/23/2020"
"GAIN Capital Group, LLC","04/14/2020, 04/18/2020","06/22/2020"
"Chino Valley Unified School District","11/04/2019","06/22/2020"
"Florida Orthopaedic Institute","04/06/2020, 04/09/2020","06/22/2020"
"Concorde Investment Services","09/17/2019, 11/04/2019","06/20/2020"
"CodeMetro","04/21/2020","06/19/2020"
"Le Duff America, Inc.","08/28/2019, 09/21/2019","06/18/2020"
"American Medical Technologies","10/01/2019, 01/01/2020","06/18/2020"
"El Dorado County Office of Education","11/06/2019","06/17/2020"
"Cognizant Technology Solutions Corporation","04/09/2020, 04/10/2020, 04/11/2020","06/17/2020"
"Optima Family Services, Inc.","04/21/2020","06/16/2020"
"Sonicbids LLC","12/29/2019","06/16/2020"
"Andrew Dang, DDS","04/19/2020","06/15/2020"
"KIPP SoCal Public Schools","10/03/2019","06/12/2020"
"Magellan Health, Inc.","04/06/2020, 04/12/2020","06/12/2020"
"Apple Valley Unified School District","11/04/2019","06/12/2020"
"You Can Trade, Inc.","","06/12/2020"
"McKinney & Company","04/01/2020","06/12/2020"
"Yuba City Unified School District","11/04/2019","06/11/2020"
"San Leandro Unified School District","11/04/2019","06/11/2020"
"MaxLinear, Inc.","04/15/2020","06/11/2020"
"Bailard, Inc.","02/25/2020, 03/05/2020","06/11/2020"
"Gonzalez CPA","","06/11/2020"
"Zoosk, Inc. ","01/12/2020","06/11/2020"
"Mt. Diablo Unified School District","11/04/2019","06/11/2020"
"Corning Union High School District","11/04/2019","06/11/2020"
"Genworth ","04/01/2020","06/10/2020"
"San Francisco Employees' Retirement System","02/24/2020","06/09/2020"
"Castro Valley Health, Inc.","01/01/2017","06/08/2020"
"Brea-Olinda Unified School District","11/04/2019","06/08/2020"
"Fairfield-Suisun Unified School District","11/04/2019","06/08/2020"
"Myron Corp. d/b/a Pen Factory (“Pen Factory”)","09/01/2019, 04/15/2020","06/05/2020"
"ABC Unified School District","11/04/2019","06/05/2020"
"Bombas LLC","11/11/2016, 02/16/2017","06/03/2020"
"San Bernardino City Unified School District","11/04/2019","06/02/2020"
"Yucaipa-Calimesa Joint Unified School District","11/04/2019","06/02/2020"
"Rocklin Unified School District","11/04/2019","06/02/2020"
"Allergy & Asthma Medical Group of the Bay Area, Inc.","04/27/2020","06/02/2020"
"Paul Quinn College ","05/24/2019, 08/28/2020","06/01/2020"
"The Crucible","04/28/2019, 02/27/2020","05/30/2020"
"Laguna Beach Unified School District","11/04/2019","05/29/2020"
"Central School District","11/04/2019","05/29/2020"
"Inglewood Unified School District","11/04/2019","05/29/2020"
"Good Samaritan Hospital, Inc.","10/22/2019","05/29/2020"
"Catholic Charities, Diocese of San Diego","03/27/2020, 03/30/2020","05/29/2020"
"Lassen Union High School Distirict","11/06/2019","05/28/2020"
"Orchard Medical Consulting","01/16/2020","05/28/2020"
"Minted, LLC","05/06/2020","05/28/2020"
"Amtrak","04/16/2020, 04/17/2020","05/28/2020"
"SFO","03/05/2020","05/27/2020"
"Icahn Automotive Group LLC (""IAG"")","03/13/2020","05/27/2020"
"Duben & Associates, Inc.","02/11/2020","05/26/2020"
"Weaver Fundraising, LLC d/b/a Trail’s End","05/03/2020","05/26/2020"
"Arbonne International, LLC","04/20/2020","05/22/2020"
"Mathway LLC","","05/22/2020"
"Aeries Software, Inc. ","","05/21/2020"
"Santa Barbara Unified School District","","05/20/2020"
"Kingsburg Elementary Charter School District","11/04/2019","05/19/2020"
"Prime Communications","12/11/2019","05/18/2020"
"City of Torrance","03/01/2020","05/18/2020"
"Bank of America","04/22/2020","05/18/2020"
"San Dieguito Union High School District","07/01/2019, 07/17/2019","05/14/2020"
"PCL Constructors, Inc.","02/18/2020, 02/19/2020","05/14/2020"
"The Chronicle of Higher Education, Inc.","02/17/2020","05/13/2020"
"Magellan Health, Inc.","04/06/2020, 04/12/2020","05/11/2020"
"Santa Rosa & Rohnert Park Oral Surgery","12/20/2019, 03/11/2020","05/08/2020"
"Lincoln Financial Advisors Corporation","03/19/2020","05/08/2020"
"Atria Wealth Solutions ","12/03/2019","05/07/2020"
"Principal Life Insurance Company","12/12/2019, 12/13/2019, 12/16/2019, 01/02/2020","05/07/2020"
"Impact Mobile Home Communities","10/03/2018, 07/31/2019","05/05/2020"
"City of Fullerton","","05/05/2020"
"Orchard Medical Consulting ","01/16/2020","05/05/2020"
"GoDaddy.com LLC","10/19/2019","05/03/2020"
"Pacific Press Publishing Association","06/22/2019","05/03/2020"
"McKissock Investment Holdings, LLC","11/16/2019, 03/04/2020","05/01/2020"
"Marshall Medical Center","02/18/2020","04/28/2020"
"Community Memorial Health System","02/18/2020","04/27/2020"
"Chegg, Inc.","04/09/2020","04/27/2020"
"A.B. Closing, Inc. D/B/A Kavaliro","","04/24/2020"
"Athens Insurance Services, Inc.","07/01/2019","04/23/2020"
"KandyPens, Inc. ","03/07/2019, 02/13/2020","04/20/2020"
"Silicon Valley Community Foundation","08/23/2018","04/20/2020"
"Volusion LLC","09/07/2019","04/20/2020"
"Wells Fargo Bank, N.A. on behalf of KDW Automotive","11/06/2019","04/20/2020"
"Squar Milner LLP","02/05/2020","04/17/2020"
"Ambry Genetics Corporation","01/22/2020, 01/24/2020","04/17/2020"
"Fusion Management Services, LLC","","04/17/2020"
"Grimaldi Center for Wellness and Aesthetics","02/20/2020, 03/02/2020","04/16/2020"
"Lincoln Financial Advisors Corporation","03/19/2020","04/16/2020"
"AST LLC","03/09/2020","04/14/2020"
"Weber and Company, Inc.","01/27/2020, 02/11/2020","04/07/2020"
"Healthcare Resource Group, Inc.","11/04/2019, 11/30/2019","04/07/2020"
"Stockdale Radiology","01/17/2020","04/06/2020"
"Ronald L Wolfe & Associates Inc.","","04/02/2020"
"Total Quality Logistics, LLC","10/01/2020","04/02/2020"
"National Institute for Automotive Service Excellence","12/18/2019, 02/03/2020, 02/04/2020, 02/13/2020","03/31/2020"
"Hospice by the Bay","03/10/2020","03/27/2020"
"New Media Trader Inc.","10/01/2019","03/26/2020"
"eImprovement, LLC","12/14/2019","03/25/2020"
"Golden Valley Health Centers","10/25/2019","03/20/2020"
"General Electric Company","02/03/2020, 02/14/2020","03/20/2020"
"Tandem Diabetes Care, Inc.","01/17/2020, 01/20/2020","03/17/2020"
"Foundation Medicine, Inc.","12/17/2019, 01/14/2020","03/13/2020"
"New Heights Ventures Inc. ","03/11/2020","03/12/2020"
"Wichita State university","12/03/2019, 12/04/2019, 12/05/2019","03/11/2020"
"Woods & Woods LLC","01/15/2020","03/11/2020"
"TrueFire LLC","08/03/2019, 01/14/2020","03/10/2020"
"Eversana Life Sciences Services, LLC","04/01/2019, 07/03/2019","03/09/2020"
"Entercom Communications Corporation","08/04/2019","03/09/2020"
"Torrance Memorial Medical Center","06/20/2019, 12/13/2019","03/06/2020"
"NYR Organic, Inc.","08/21/2019, 09/04/2019","03/06/2020"
"Athens Insurance Services, Inc.","07/01/2019","03/06/2020"
"Carnival Corporation & PLC","04/11/2019, 07/23/2019","03/03/2020"
"J.Crew Group, Inc.","","03/02/2020"
"Walgreen Co.","01/09/2020, 01/15/2020","02/28/2020"
"Allstate Benefits","02/05/2020","02/28/2020"
"Kaiser Health Plan, Southern California","10/06/2019, 12/20/2019","02/28/2020"
"RailWorks Corporation ","01/27/2020","02/27/2020"
"Moss Adams LLP","10/08/2019, 10/10/2019","02/26/2020"
"AFTRA Retirement Fund","10/24/2019, 10/28/2019","02/25/2020"
"VibrantCare Rehabilitation, Inc. ","08/20/2019, 08/27/2019","02/24/2020"
"Rady Children's Hospital San Diego","06/20/2019, 01/03/2020","02/21/2020"
"Pacific Guardian Life Insurance Co. Ltd.","11/04/2019","02/17/2020"
"Aveanna Healthcare","07/09/2019","02/14/2020"
"Overlake Medical Center & Clinics","12/06/2019, 12/09/2019","02/07/2020"
"Altice USA, Inc.","11/04/2019","02/06/2020"
"Golden Entertainment, Inc.","05/30/2019","01/31/2020"
"The City of Los Banos, California ","09/23/2019","01/31/2020"
"Pacific Specialty Insurance Company","03/20/2019, 03/30/2019","01/24/2020"
"Sunshine Behavioral Health Group, LLC","03/01/2017","01/21/2020"
"The UPS Store, Inc.","09/29/2019, 01/13/2020","01/20/2020"
"Community Action Partnership of Kern","10/11/2019","01/17/2020"
"J.D. England Management, Inc.","08/31/2019, 09/01/2019","01/17/2020"
"The Crack Shack Enterprises, LLC","08/19/2018, 09/23/2019","01/17/2020"
"Legalinc Corporate Services, Inc. (as data maintainer) on behalf of Rocket Lawyer Incorporated (as data owner)","10/25/2017, 12/04/2019","01/15/2020"
"Hanna Andersson, LLC","09/16/2019","01/15/2020"
"Decron Properties Corporation","04/28/2019","01/14/2020"
"Health Quest Systems, Inc.","07/11/2018","01/10/2020"
"PIH Health","06/11/2019, 06/19/2019","01/10/2020"
"Jambav, Inc.","","01/10/2020"
"Treloar & Heisel, Inc. ","05/13/2019","01/09/2020"
"AmeriSave Mortgage Corporation","10/03/2019","01/03/2020"
"States Logistics Services, Inc.","08/30/2019","01/03/2020"
"Landry’s, Inc.","01/18/2019, 10/17/2019","12/31/2019"
"Legalinc Corporate Services, Inc. (as data maintainer) on behalf of Stripe GEP, Inc. (as data owner)","10/25/2017, 12/04/2019","12/31/2019"
"Evolucion Innovations Inc.","11/08/2019","12/31/2019"
"Imperfect Foods, Inc. ","","12/30/2019"
"Active Network, LLC ","10/01/2019, 11/13/2019","12/30/2019"
"SharesPost, Inc.","09/06/2019","12/27/2019"
"ACCO Engineered Systems, Inc.","11/20/2019","12/26/2019"
"Avid Technology, Inc.","10/08/2018, 10/12/2018","12/24/2019"
"HelloTech, Inc. ","","12/23/2019"
"Jambav, Inc.","","12/19/2019"
"Island Restaurants, LP and Champagne French Bakery Cafe","02/18/2019, 09/27/2019","12/19/2019"
"Wawa, Inc.","03/04/2019, 12/12/2019","12/19/2019"
"Western Health Advantage","10/20/2019","12/13/2019"
"The Master's Touch, LLC","10/23/2019","12/13/2019"
"Blue Cross Blue Shield Association","09/28/2019","12/12/2019"
"CJGO Fulfillment, Inc. DBA CoffeeAM","01/16/2019, 10/02/2019","12/09/2019"
"Arthur J. Gallagher & Co.","03/15/2019","12/06/2019"
"Cucamonga Valley Water Ditrict","08/26/2019","12/04/2019"
"Farmers Insurance","03/31/2019","12/03/2019"
"Choice Hotels International, Inc.","06/01/2015, 11/12/2019","11/29/2019"
"The UPS Store, Inc. ","10/11/2019, 10/22/2019","11/27/2019"
"KPRS Construction Services, Inc.  ","03/14/2019, 04/29/2019","11/25/2019"
"Cadence Aerospace","10/24/2019","11/25/2019"
"LifeMark Securities, Corp.","08/27/2019, 08/03/2019","11/20/2019"
"Atria Senior Living","09/18/2019, 09/20/2019","11/19/2019"
"Wescom Central Credit Union","05/14/2019","11/19/2019"
"Capital Planning Advisors, LLC","07/30/2019, 08/01/2019","11/15/2019"
"macys.com","10/07/2019, 10/15/2019","11/15/2019"
"Green Roads of Florida, LLC ","07/09/2019","11/14/2019"
"Solara Medical Supplies, LLC","04/02/2019, 06/20/2019","11/13/2019"
"GFS, Inc.","08/13/2019, 08/22/2019","11/13/2019"
"River Valley Farms LLC","08/12/2019, 08/26/2019","11/08/2019"
"Jal Berry Farms LLC","08/12/2019, 08/26/2019","11/08/2019"
"Reiter Brothers, Inc","08/12/2019, 08/26/2019","11/08/2019"
"Reiter Berry Farms, Inc.","08/12/2019, 08/26/2019","11/08/2019"
"First Aid Beauty Limited","04/15/2019, 10/25/2019","11/08/2019"
"EmployBridge","09/03/2019","11/08/2019"
"Web.com Group, Inc.","08/22/2019","11/05/2019"
"Title Boxing, LLC","05/16/2019, 07/12/2019","10/31/2019"
"Marriott International","","10/30/2019"
"The Guidance Center","03/15/2019, 04/01/2019","10/30/2019"
"Gazelle Transportation, LLC","09/01/2019, 09/24/2019","10/29/2019"
"Bed Bath & Beyond Inc.","09/04/2019, 09/27/2019","10/29/2019"
"Auto Approve, LLC","08/28/2019, 09/19/2019","10/28/2019"
"BookShark LLC","08/26/2019","10/25/2019"
"Central Valley Regional Center","07/25/2019, 08/02/2019","10/24/2019"
"Kalisepell Regional Healthcare","05/24/2019","10/22/2019"
"Tribune Publishing Company","11/01/2018, 01/22/2019, 03/19/2019, 05/31/2019, 07/11/2019","10/18/2019"
"Eye Buy Direct, Inc.","09/01/2018","10/18/2019"
"PKF LLP","08/17/2019","10/17/2019"
"Nutraceutical Wellness Inc. dba Nutrafol","04/10/2019","10/16/2019"
"The Rodgers & Hammerstein Organization","09/09/2019","10/15/2019"
"Hunt Regional Medical Center","05/18/2018","10/09/2019"
"Telecare Corporation","07/25/2019","10/04/2019"
"City of Bakersfield","07/30/2019, 09/05/2019","10/04/2019"
"San Francisco Department of Public Health","11/14/2018, 08/07/2019","10/03/2019"
"McAlister’s Corporation, Moe’s Stores LLC, Schlotzsky’s Stores LLC, as well as entities that are franchisees ","04/11/2019, 07/22/2019","10/02/2019"
"","03/14/2019, 06/12/2019","10/02/2019"
"Drury Hotels Company, LLC","12/28/2017, 06/02/2019","10/01/2019"
"Zynga","","09/30/2019"
"DoorDash, Inc.","05/04/2019","09/27/2019"
"Kaiser Permanente","08/12/2019","09/26/2019"
"Jewish Community Federation","09/18/2018","09/24/2019"
"Amateur Athletic Union","10/01/2018, 07/02/2019","09/13/2019"
"Coyuchi","06/20/2019","09/11/2019"
"Cornerstone Building Brands, Inc.","04/01/2019, 04/02/2019","09/11/2019"
"Miller Kaplan Arase LLP","03/22/2019","09/11/2019"
"Capital One","03/22/2019, 03/23/2019","09/11/2019"
"Calibre CPA Group ","03/11/2019, 05/07/2019","09/09/2019"
"CafePress Inc.","02/19/2019","09/05/2019"
"Andy Frain Services","05/22/2019","09/03/2019"
"Foxit Software","","09/03/2019"
"Carl's Golfland, Inc.","03/25/2019, 07/14/2019","08/30/2019"
"Creation Entertainment, Inc.","02/01/2018, 10/10/2018","08/26/2019"
"Eye Safety Systems, Inc. (ESS)","11/21/2017, 07/16/2019","08/22/2019"
"Alight Solutions LLC","09/22/2014, 10/01/2016","08/20/2019"
"Niche.com Inc.","07/24/2019","08/20/2019"
"Los Angeles Police Federal Credit Union","07/17/2019","08/19/2019"
"Hospice of San Joaquin","07/02/2019","08/19/2019"
"Marks & Associates","11/01/2019","08/14/2019"
"Capital One","03/22/2019, 03/23/2019","08/12/2019"
"StockX LLC","05/14/2019","08/09/2019"
"Vitagene, Inc. ","","08/06/2019"
"TBI Mortgage Company","","08/05/2019"
"Jofit, LLC ","01/18/2019, 05/12/2019","08/05/2019"
"Amarin Pharma, Inc.","05/02/2018, 06/20/2019","08/05/2019"
"Presbyterian Healthcare Services","05/09/2019","08/02/2019"
